id,name,country,type,subtype,claim_tco2_yr,aoi_or_loc,metric_pre,metric_post,metric_change_pct,implied_claimed,implied_observed,ratio_obs_to_claim,n_observations,implied_capture_rate,severity,scan_status
5138,Wuhan Jiangxia Changshankou LFG Power Project Phase II,China,methane,Energy industries (renewable/n,157260,"30.353,114.209",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2358,Nanchang Zhonglan Huanneng Technical Service Co. Ltd. Maiyuan LFG Power Generation Project,China,methane,Energy industries (renewable/n,155699,"28.735,115.780",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3544,Solid Waste to Energy Production Facility Sonepat,India,methane,Energy industries (renewable/n,152616,"28.993,77.015",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4256,Linzhang Biogas Recovery and Utilization Project,China,methane,Energy industries (renewable/n,151849,"36.358,114.436",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2706,Shuangbaotai AWMS GHG Mitigation Project in Jiangsu Province,China,methane,Energy industries (renewable/n,150212,"32.772,120.778",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4195,Anlu Aonong Swine Farm Manure Management System GHG Mitigation Project,China,methane,Energy industries (renewable/n,140424,"31.160,113.639",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3407,Heyuan Dengta Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,139586,"23.991,114.760",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2335,Zhangjiakou Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,137156,"40.762,114.956",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3005,Tongxu Biogas Recovery and Utilization Project,China,methane,Energy industries (renewable/n,136134,"34.537,114.541",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4338,Bishuiyuan Wastewater Treatment Plant Project,China,methane,Waste handling and disposal,135475,"44.025,87.663",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3866,Heyuan Qizhai Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,134828,"23.621,114.746",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3000,Nankang District MSW Landfill Site LFG Recovery and Comprehensive Utilization Project,China,methane,Energy industries (renewable/n,133226,"25.533,114.812",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3678,Chia Tai AWMS GHG Mitigation Project in Guangdong Province,China,methane,Energy industries (renewable/n,131840,"21.389,110.026",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3626,Yangchun Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,131612,"22.015,111.683",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3625,Yangdong Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,129487,"21.943,112.046",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2468,Gaizhou Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,128590,"40.431,122.429",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4423,NEW HOPE AWMS GHG Mitigation Project In Anhui Province,China,methane,"Livestock, enteric fermentatio",126761,"32.985,117.664",,,,,,,,,outside_cm_coverage,outside_cm_coverage
